Model name;missing;additional;merged;splitted;2 wrong sequences;random sequences;AND -> XOR;XOR -> AND;XOR -> SEQ;AND -> SEQ
gdpr_5_right_to_withdraw.json copy.xml;;;;;x;x;;;x;
gdpr_5_right_to_withdraw.json copy.xml;;;;;x;x;;;x;
gdpr_5_right_to_withdraw.json.xml;x;;x;;;;;x;;
gdpr_5_right_to_withdraw.json.xml;x;;x;;;;;x;;
gdpr_7_right_to_be_forgotten.json.xml;;x;x;;;;;x;;
gdpr_7_right_to_be_forgotten.json.xml;;x;x;;;;;x;;
healthcare_bpmai_2.xml;;x;;;;;;x;x;
healthcare_bpmai_2.xml;;x;;;;;;x;x;
healthcare_bpmai_3.xml;;;x;;x;;;x;;
healthcare_bpmai_3.xml;;;x;;x;;;x;;
healthcare_klessascheck_1.xml;x;x;;;;;;x;;
healthcare_klessascheck_1.xml;x;x;;;;;;x;;
healthcare_pufahl_4.xml;x;x;;;;;x;;;
healthcare_pufahl_4.xml;x;x;;;;;x;;;
healthcare_redeker_5.xml;;;;;x;;;x;;x
healthcare_redeker_5.xml;;;;;x;;;x;;x
healthcare_redeker_5_E.xml;x;;;;;x;;;x;
healthcare_redeker_5_E.xml;x;;;;;x;;;x;
logistics_bpmai_1.xml;;;;;x;x;;x;;
logistics_bpmai_1.xml;;;;;x;x;;x;;
logistics_cimino_3.xml;;;x;;;;x;x;;
logistics_cimino_3.xml;;;x;;;;x;x;;
logistics_ferreira_4.xml;x;;;;;x;x;;;
logistics_ferreira_4.xml;x;;;;;x;x;;;
logistics_klessascheck_5.xml;;x;x;;;;;;x;
logistics_klessascheck_5.xml;;x;x;;;;;;x;
logistics_signavio_2.xml;;;x;;x;;;;;x
logistics_signavio_2.xml;;;x;;x;;;;;x
manufacturing_aris_3.xml;x;x;;;;x;;;;
manufacturing_aris_3.xml;x;x;;;;x;;;;
manufacturing_bpmai_1.xml;x;x;x;;;;;;;
manufacturing_bpmai_1.xml;x;x;x;;;;;;;
manufacturing_bpmai_2.xml;x;x;;;x;;;;;
manufacturing_bpmai_2.xml;x;x;;;x;;;;;
manufacturing_lodhi_5.xml;x;;;;;;;x;;x
manufacturing_lodhi_5.xml;x;;;;;;;x;;x
manufacturing_tomaskova_4.xml;x;x;;;;;;x;;
manufacturing_tomaskova_4.xml;x;x;;;;;;x;;
tourism_bpmai_1.xml;x;x;;;x;;;;;
tourism_bpmai_1.xml;x;x;;;x;;;;;
tourism_corradini_2.xml;x;x;;;x;;;;;
tourism_corradini_2.xml;x;x;;;x;;;;;
tourism_fouad_3.xml;x;;x;;;;;;x;
tourism_fouad_3.xml;x;;x;;;;;;x;
tourism_milanovic_4.xml;x;;;;;x;x;;;
tourism_milanovic_4.xml;x;;;;;x;x;;;
tourism_web_5.xml;x;x;;;x;;;;;
tourism_web_5.xml;x;x;;;x;;;;;
1-1.xml;;;x;;x;;x;;;
1-1.xml;;;x;;x;;x;;;
1-2.xml;;x;x;;;;x;;;
1-2.xml;;x;x;;;;x;;;
1-3.xml;;;x;;;;x;;x;
1-3.xml;;;x;;;;x;;x;
1-4.xml;;;x;;;x;;;;x
1-4.xml;;;x;;;x;;;;x
10-1.xml;;x;;;x;;;x;;
10-1.xml;;x;;;x;;;x;;
10-10.xml;x;;x;;;;;x;;
10-10.xml;x;;x;;;;;x;;
10-11.xml;x;;x;;;;;x;;
10-11.xml;x;;x;;;;;x;;
10-12.xml;x;x;;;;x;;;;
10-12.xml;x;x;;;;x;;;;
10-13.xml;x;x;x;;;;;;;
10-13.xml;x;x;x;;;;;;;
10-14.xml;;;;;x;;;x;x;
10-14.xml;;;;;x;;;x;x;
10-2.xml;x;;;;;;;x;x;
10-2.xml;x;;;;;;;x;x;
10-3.xml;;x;;;;;;x;x;
10-3.xml;;x;;;;;;x;x;
10-4.xml;x;;x;;;;;x;;
10-4.xml;x;;x;;;;;x;;
10-5.xml;;x;x;;;x;;;;
10-5.xml;;x;x;;;x;;;;
10-6.xml;x;;;;x;;;x;;
10-6.xml;x;;;;x;;;x;;
10-7.xml;;;x;;x;;;;x;
10-7.xml;;;x;;x;;;;x;
10-8.xml;x;x;;;;;;;x;
10-8.xml;x;x;;;;;;;x;
10-9.xml;;;;;x;x;;;x;
10-9.xml;;;;;x;x;;;x;
2-1.xml;;;;;;;x;x;x;
2-1.xml;;;;;;;x;x;x;
2-2.xml;;x;;;;x;;;;x
2-2.xml;;x;;;;x;;;;x
3-1.xml;x;x;x;;;;;;;
3-1.xml;x;x;x;;;;;;;
3-2.xml;x;;;;;;x;x;;
3-2.xml;x;;;;;;x;x;;
3-3.xml;x;x;;;x;;;;;
3-3.xml;x;x;;;x;;;;;
3-5.xml;;;;;;x;;;x;x
3-5.xml;;;;;;x;;;x;x
3-6.xml;x;;x;;;;;;x;
3-6.xml;x;;x;;;;;;x;
3-7.xml;;x;x;;;x;;;;
3-7.xml;;x;x;;;x;;;;
3-8.xml;;x;x;;x;;;;;
3-8.xml;;x;x;;x;;;;;
4-1.xml;;;x;;;x;;;x;
4-1.xml;;;x;;;x;;;x;
5-1.xml;;x;x;;;;;x;;
5-1.xml;;x;x;;;;;x;;
5-2.xml;;x;;;x;x;;;;
5-2.xml;;x;;;x;x;;;;
5-3.xml;x;;;;x;;;x;;
5-3.xml;x;;;;x;;;x;;
5-4.xml;x;x;;;;x;;;;
5-4.xml;x;x;;;;x;;;;
6-1.xml;x;x;;;;;;;x;
6-1.xml;x;x;;;;;;;x;
6-2.xml;x;x;x;;;;;;;
6-2.xml;x;x;x;;;;;;;
6-3.xml;;x;;;x;;;x;;
6-3.xml;;x;;;x;;;x;;
6-4.xml;x;;x;;;;;;x;
6-4.xml;x;;x;;;;;;x;
7-1.xml;x;;;;x;;;x;;
7-1.xml;x;;;;x;;;x;;
8-1.xml;x;;;;x;x;;;;
8-1.xml;x;;;;x;x;;;;
8-2.xml;x;x;;;;;;x;;
8-2.xml;x;x;;;;;;x;;
8-3.xml;;x;x;;;;;;x;
8-3.xml;;x;x;;;;;;x;
9-1.xml;;;;;x;x;;;x;
9-1.xml;;;;;x;x;;;x;
9-2.xml;;x;;;;x;;;x;
9-2.xml;;x;;;;x;;;x;
9-3.xml;;x;x;;x;;;;;
9-3.xml;;x;x;;x;;;;;
9-4.xml;x;;;;x;x;;;;
9-4.xml;x;;;;x;x;;;;
9-5.xml;x;;;;;x;;;x;
9-5.xml;x;;;;;x;;;x;
1-1.xml;;;x;;;x;x;;;
1-1.xml;;;x;;;x;x;;;
1-2.xml;;;x;;;;;x;;x
1-2.xml;;;x;;;;;x;;x
1-3.xml;;;x;;;;;;x;x
1-3.xml;;;x;;;;;;x;x
1-4.xml;;x;;;x;;;;;x
1-4.xml;;x;;;x;;;;;x
10-1.xml;;x;;;x;;;;x;
10-1.xml;;x;;;x;;;;x;
10-10.xml;;x;x;;;;;;x;
10-10.xml;;x;x;;;;;;x;
10-11.xml;;x;;;x;;;x;;
10-11.xml;;x;;;x;;;x;;
10-12.xml;;x;;;;x;;x;;
10-12.xml;;x;;;;x;;x;;
10-13.xml;x;x;;;;x;;;;
10-13.xml;x;x;;;;x;;;;
10-14.xml;x;x;;;x;;;;;
10-14.xml;x;x;;;x;;;;;
10-2.xml;;;;;;x;;x;x;
10-2.xml;;;;;;x;;x;x;
10-3.xml;;x;;;x;x;;;;
10-3.xml;;x;;;x;x;;;;
10-4.xml;;x;;;;x;;x;;
10-4.xml;;x;;;;x;;x;;
10-5.xml;;x;x;;x;;;;;
10-5.xml;;x;x;;x;;;;;
10-6.xml;;;x;;x;;;;x;
10-6.xml;;;x;;x;;;;x;
10-7.xml;;x;x;;;x;;;;
10-7.xml;;x;x;;;x;;;;
10-8.xml;;;;;x;x;;;x;
10-8.xml;;;;;x;x;;;x;
10-9.xml;;;;;x;x;;;x;
10-9.xml;;;;;x;x;;;x;
